match_id,possession,first_event_id,first_event_index,first_player,first_position,first_start_x,first_end_x,n_actions_in_possession,n_distinct_players,validated_success_partial,validated_success_total,success_partial_start_action_number,success_partial_end_action_number,success_total_start_action_number,success_total_end_action_number,outcome_label
4005739,211,6e219e93-8082-5c94-af4e-b90fa59882e7,2832,Lazar Carević,Goalkeeper,19.4,28.5,9,4,False,False,,,,,unsuccessful
4005739,213,c979e0da-9885-57af-9882-9bdc27905195,2860,Lazar Carević,Goalkeeper,24.0,29.1,6,4,True,False,4.0,6.0,,,success_partial
4005739,220,0dda0e56-cfeb-5e61-80a8-f179d4caa79d,2948,Lazar Carević,Goalkeeper,14.9,29.5,15,9,True,True,2.0,4.0,3.0,5.0,success_total
4005739,230,43c3e4cc-5948-567b-b3f5-f188bea7e7e3,3072,Leonardo Javier Realpe Montaño,Right Center Back,35.7,35.5,8,4,True,False,3.0,5.0,,,success_partial
4005745,13,3a892a65-d3a5-50d2-adea-c37437c8a885,162,Leonardo Javier Realpe Montaño,Right Center Back,7.8,13.7,12,5,True,True,8.0,10.0,8.0,10.0,success_total
4005745,28,e73968e9-aead-5930-a4a1-c3e606178a14,362,Justin de Haas,Left Center Back,6.0,4.8,7,4,True,False,5.0,7.0,,,success_partial
4005745,31,7cdf92dc-5fc5-5bcc-a5e3-ec55977de352,389,Justin de Haas,Left Center Back,6.0,5.1,6,4,False,False,,,,,unsuccessful
4005745,59,7c916b7b-1143-52eb-9bdb-5cac3794f86d,831,Lazar Carević,Goalkeeper,8.8,20.2,17,5,True,True,2.0,4.0,5.0,7.0,success_total
4005745,77,59272fdf-9cfc-527f-99ad-5ebf17792757,1088,Leonardo Javier Realpe Montaño,Right Center Back,33.4,13.9,7,4,False,False,,,,,unsuccessful
4005745,93,864e14e7-84e1-52cd-879c-3775def9c0ac,1283,Lazar Carević,Goalkeeper,11.7,28.3,64,10,True,True,2.0,4.0,7.0,9.0,success_total
4005745,98,51f87c22-eccb-5912-aab7-3f8d498b23fe,1410,Justin de Haas,Left Center Back,6.0,6.0,8,5,True,True,3.0,5.0,3.0,5.0,success_total
4005745,107,d7a5b022-11b0-5486-93e8-9557abb0d020,1511,Lazar Carević,Goalkeeper,6.2,22.1,6,4,True,True,3.0,5.0,3.0,5.0,success_total
4005745,146,3e5a8a7b-cf89-5683-a8a3-2c1c7b418a55,1932,Lazar Carević,Goalkeeper,16.1,32.9,7,4,True,True,2.0,4.0,3.0,5.0,success_total
4005745,165,6907fed5-6ffe-5fd0-b797-1530e3a6693b,2163,Lazar Carević,Goalkeeper,6.4,6.7,9,5,True,False,3.0,5.0,,,success_partial
4005745,176,3e36db5c-b1d1-50b6-b229-d3d25c750506,2309,Justin de Haas,Left Center Back,6.3,5.8,9,3,False,False,,,,,unsuccessful
4005753,29,4ff73627-b76b-5f24-a3eb-a830902c39b5,408,Ibrahima Ba,Right Center Back,16.7,14.8,4,4,False,False,,,,,unsuccessful
4005753,33,a573badd-7706-5e19-9138-a1297866a825,455,Ibrahima Ba,Right Center Back,12.6,25.6,4,3,False,False,,,,,unsuccessful
